content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,clean_text_final
opsi pembayaran untuk bank tidak lengkap masih di monopoli blu bca,1,0.0,0.0,Negative,opsi bayar bank lengkap blu bca
kalau bikin aplikasi yang niat kalo hujan knp harus error terus tidak bisa dibuka ganti pihak ketiga rombak tim it ini jakarta bukan kota kecil masih banyak tenaga it yang mumpuni memalukan,1,0.0,0.0,Negative,bikin niat kalo knp error buka ganti tim jakarta
ke balik milih setasiun buat masuk sudah nyamperin petugasnya buat nanya ini masih bisa di ganti gak katanya tidak bisa terus bilang itu tanggung jawab sendiri jadi harus mesen lg  jadinya tiket sebelum tidak ke pake sama sekali ,1,0.0,0.0,Negative,masuk tugas ganti bilang lg tiket pake
tidak bisa bayar pakai qris,1,0.0,0.0,Negative,bayar pakai qris
sukaa dari segi pembayaran masih dipermudah seperti kredivo dan dana untuk liat jadwal kereta juga lebih akurat dan simple dibanding krl gapernah ngaret selalu ontime kereta dingin fasilitas bersih,5,0.0,0.35714285714285715,Positive,bayar mudah dana liat jadwal kereta simple krl kereta fasilitas bersih
lemot banget dana di saldo ilang,1,0.0,0.0,Negative,lot dana saldo
hmmmm lumayan,3,0.0,0.0,Neutral,lumayan
good job,5,0.7,0.6000000000000001,Positive,good job
semua fasilitas oke  hanya sistem e tiket mohon di perbaiki kalau salah di stasiun awal bisa di ganti oh ya semoga ada promo langganan yang harga nya bisa lebih murah  bukan voucher belanja seperti sekarang kurang berdampak ,5,0.0,0.0,Positive,fasilitas oke sistem tiket mohon baik salah stasiun ganti moga promo langgan harga murah
aplikasi dengan iklan sangat barbar buka aplikasi lsg iklanmo cepetan mlah buka iklanini aplikasi lebih mementingkan iklan daripada pelanggan,1,0.0,0.0,Negative,iklan buka buka penting iklan langgan
tidak ramah pengguna terlalu sedikit opsi pembayaran tiketnya aplikasi sering crash lambat tidak responsif,1,0.0,0.0,Negative,ramah guna opsi bayar tiket
aplikasi apa sih ini sampai harus minta persetujuan penggunaan data kita dari data pribadi sampai data keuangan dan data data yang lain buat apa coba  ngga jadi deh langsung uninstall aja,1,0.0,0.0,Negative,tuju guna data data pribadi data data data coba ngga langsung uninstall
mau top up tapi metode pembayar tidak memudahkan maaf saya undowload,1,0.5,0.5,Negative,top metode bayar mudah maaf
oke tidak perlu antri di stasiun bisa prepare selama perjalanan dan pembayaran banyak cara qr gopay dana memudahkan,5,0.0,0.0,Positive,oke antri stasiun jalan bayar qr gopay dana mudah
ketika ingin mengaktifkan martipay selalu muncul pesan link anda sufah tidak valid,3,0.0,0.0,Neutral,aktif muncul pesan link
