tokens_stemmed,clean_text_final
"['opsi', 'bayar', 'bank', 'lengkap', 'monopoli', 'blu', 'bca']",opsi bayar bank lengkap monopoli blu bca
"['bikin', 'niat', 'kalo', 'hujan', 'knp', 'error', 'buka', 'ganti', 'tiga', 'rombak', 'tim', 'jakarta', 'kota', 'tenaga', 'mumpuni', 'malu']",bikin niat kalo hujan knp error buka ganti tiga rombak tim jakarta kota tenaga mumpuni malu
"['milih', 'setasiun', 'masuk', 'nyamperin', 'tugas', 'nanya', 'ganti', 'bilang', 'tanggung', 'mesen', 'lg', 'tiket', 'pake']",milih setasiun masuk nyamperin tugas nanya ganti bilang tanggung mesen lg tiket pake
"['bayar', 'pakai', 'qris']",bayar pakai qris
"['sukaa', 'segi', 'bayar', 'mudah', 'kredivo', 'dana', 'liat', 'jadwal', 'kereta', 'akurat', 'simple', 'banding', 'krl', 'gapernah', 'ngaret', 'ontime', 'kereta', 'dingin', 'fasilitas', 'bersih']",sukaa segi bayar mudah kredivo dana liat jadwal kereta akurat simple banding krl gapernah ngaret ontime kereta dingin fasilitas bersih
"['lot', 'dana', 'saldo', 'ilang']",lot dana saldo ilang
"['hmmmm', 'lumayan']",hmmmm lumayan
"['good', 'job']",good job
"['fasilitas', 'oke', 'sistem', 'tiket', 'mohon', 'baik', 'salah', 'stasiun', 'ganti', 'moga', 'promo', 'langgan', 'harga', 'murah', 'voucher', 'belanja', 'dampak']",fasilitas oke sistem tiket mohon baik salah stasiun ganti moga promo langgan harga murah voucher belanja dampak
"['iklan', 'barbar', 'buka', 'lsg', 'iklanmo', 'cepetan', 'mlah', 'buka', 'iklanini', 'penting', 'iklan', 'langgan']",iklan barbar buka lsg iklanmo cepetan mlah buka iklanini penting iklan langgan
"['ramah', 'guna', 'opsi', 'bayar', 'tiket', 'crash', 'lambat', 'responsif']",ramah guna opsi bayar tiket crash lambat responsif
"['tuju', 'guna', 'data', 'data', 'pribadi', 'data', 'uang', 'data', 'data', 'coba', 'ngga', 'langsung', 'uninstall']",tuju guna data data pribadi data uang data data coba ngga langsung uninstall
"['top', 'metode', 'bayar', 'mudah', 'maaf', 'undowload']",top metode bayar mudah maaf undowload
"['oke', 'antri', 'stasiun', 'prepare', 'jalan', 'bayar', 'qr', 'gopay', 'dana', 'mudah']",oke antri stasiun prepare jalan bayar qr gopay dana mudah
"['aktif', 'martipay', 'muncul', 'pesan', 'link', 'sufah', 'valid']",aktif martipay muncul pesan link sufah valid
"['heran', 'update', 'mulu']",heran update mulu
['lelet'],lelet
"['fungsi', 'ngnbvb']",fungsi ngnbvb
"['kode', 'otp', 'dikirim2', 'wa', 'sinyal', 'uda', 'lancar']",kode otp dikirim2 wa sinyal uda lancar
['bantu'],bantu
"['tol0l', 'dikit2', 'notif', 'baru', 'dikit2', 'notif', 'baru', 'gblk', 'emang', 'bikin', 'kesel', 'guna', 'auto', 'unistall']",tol0l dikit2 notif baru dikit2 notif baru gblk emang bikin kesel guna auto unistall
"['bagus', 'sistem', 'bayar', 'edit', 'nmr', 'gopay', 'dana', 'pas', 'bayar', 'karna', 'org', 'nomor', 'waemail', 'singkron', 'gopaydana', 'klo', 'sistem', 'bayar', 'virtual', 'account', 'sy', 'uninstall', 'apk']",bagus sistem bayar edit nmr gopay dana pas bayar karna org nomor waemail singkron gopaydana klo sistem bayar virtual account sy uninstall apk
"['bagus', 'nyaman', '']",bagus nyaman 
