content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,indonesian_sentiment,clean_text_final
opsi pembayaran untuk bank tidak lengkap masih di monopoli blu bca,1,0.0,0.0,Negative,0,opsi bayar bank lengkap monopoli blu bca
kalau bikin aplikasi yang niat kalo hujan knp harus eror terus tidak bisa dibuka ganti pihak ketiga rombak tim it ini jakarta bukan kota kecil masih banyak tenaga it yang mumpuni memalukan,1,0.0,0.0,Negative,0,bikin niat kalo hujan knp eror buka ganti tim jakarta kota tenaga
ke balik milih setasiun buat masuk sudah nyamperin petugasnya buat nanya ini masih bisa di ganti gak katanya tidak bisa terus bilang itu tangung jawab sendiri jadi harus mesen lagi  jadinya tiket sebelum tidak ke pake sama sekali ,1,0.0,0.0,Negative,0,setasiun masuk tugas ganti bilang mesen tiket pake
tidak bisa bayar pakai qris,1,0.0,0.0,Negative,0,bayar pakai qris
suka dari segi pembayaran masih dipermudah seperti kredivo dan dana untuk liat jadwal kereta juga lebih akurat dan simple dibanding krl gapernah ngaret selalu ontime kereta dingin fasilitas bersih,5,0.0,0.35714285714285715,Positive,1,suka bayar mudah dana liat jadwal kereta simple krl ontime kereta fasilitas bersih
lemot sangat dana di saldo ilang,1,0.0,0.0,Negative,-1,lot dana saldo ilang
hm lumayan,3,0.0,0.0,Neutral,0,hm lumayan
god job,5,0.0,0.0,Positive,0,god job
semua fasilitas oke  hanya sistem e tiket mohon di perbaiki kalau salah di stasiun awal bisa di ganti oh ya semoga ada promo langanan yang harga nya bisa lebih murah  bukan voucher belanja seperti sekarang kurang berdampak ,5,0.0,0.0,Positive,1,fasilitas sistem tiket mohon baik salah stasiun ganti moga promo harga murah
aplikasi dengan iklan sangat barbar buka aplikasi lsg iklanmo cepetan mlah buka iklanini aplikasi lebih mementingkan iklan daripada pelangan,1,0.0,0.0,Negative,0,iklan buka buka penting iklan pelang
tidak ramah penguna terlalu sedikit opsi pembayaran tiketnya aplikasi sering crash lambat tidak responsif,1,0.0,0.0,Negative,-1,ramah penguna opsi bayar tiket lambat
aplikasi apa sih ini sampai harus minta persetujuan pengunan data kita dari data pribadi sampai data keuangan dan data data yang lain buat apa coba  nga jadi deh langsung uninstal aja,1,0.0,0.0,Negative,0,tuju pengunan data data pribadi data uang data data coba nga langsung uninstal
mau top up tapi metode pembayar tidak memudahkan maf saya undowload,1,0.5,0.5,Negative,1,top metode bayar mudah maf
oke tidak perlu antri di stasiun bisa prepare selama perjalanan dan pembayaran banyak cara qr gopay dana memudahkan,5,0.0,0.0,Positive,1,antri stasiun jalan bayar qr gopay dana mudah
ketika ingin mengaktifkan martipay selalu muncul pesan link anda sufah tidak valid,3,0.0,0.0,Neutral,0,aktif muncul pesan link valid
heran minta update mulu,2,0.0,0.0,Negative,0,heran update mulu
aplikasi nya lelet sangat,1,0.0,0.0,Negative,0,lelet
aplikasi sudah berfungsi dengan ngnbvb,5,0.0,0.0,Positive,0,fungsi
kode otp tidak dikirim ke wa padahal sinyal uda lancar,1,0.0,0.0,Negative,0,kode otp kirim wa sinyal uda lancar
sangat membantu,5,0.0,0.0,Positive,0,bantu
aplikasi tol dikit ada notif harus diperbarui dikit ada notif harus diperbarui gblk emang bikin kesel penguna aja auto unistal,1,0.0,0.0,Negative,0,tol dikit notif baru dikit notif baru emang bikin kesel penguna auto
